cont,name,formula,adduct,charge,mass
Tween 80,(C2H4O) 11 ,C24H44O6C22H44O11,[M+H],1,913.609428
Tween 80,(C2H4O) 11 HN4,C24H44O6C22H44O11,[M+NH4],1,930.635977
Tween 80,(C2H4O) 11 Na,C24H44O6C22H44O11,[M+Na],1,935.591371
Tween 80,(C2H4O) 12 ,C24H44O6C24H48O12,[M+H],1,957.635643
Tween 80,(C2H4O) 12 HN4,C24H44O6C24H48O12,[M+NH4],1,974.662192
Tween 80,(C2H4O) 12 Na,C24H44O6C24H48O12,[M+Na],1,979.617586
Tween 80,(C2H4O) 13 ,C24H44O6C26H52O13,[M+H],1,1001.661857
Tween 80,(C2H4O) 13 HN4,C24H44O6C26H52O13,[M+NH4],1,1018.688407
Tween 80,(C2H4O) 13 Na,C24H44O6C26H52O13,[M+Na],1,1023.6438
Tween 80,(C2H4O) 14 ,C24H44O6C28H56O14,[M+H],1,1045.688072
Tween 80,(C2H4O) 14 HN4,C24H44O6C28H56O14,[M+NH4],1,1062.714622
Tween 80,(C2H4O) 14 Na,C24H44O6C28H56O14,[M+Na],1,1067.670015
Tween 80,(C2H4O) 15 ,C24H44O6C30H60O15,[M+H],1,1089.714287
Tween 80,(C2H4O) 15 HN4,C24H44O6C30H60O15,[M+NH4],1,1106.740836
Tween 80,(C2H4O) 15 Na,C24H44O6C30H60O15,[M+Na],1,1111.69623
Tween 80,(C2H4O) 16 ,C24H44O6C32H64O16,[M+H],1,1133.740502
Tween 80,(C2H4O) 16 HN4,C24H44O6C32H64O16,[M+NH4],1,1150.767051
Tween 80,(C2H4O) 16 Na,C24H44O6C32H64O16,[M+Na],1,1155.722445
Tween 80,(C2H4O) 17 ,C24H44O6C34H68O17,[M+H],1,1177.766716
Tween 80,(C2H4O) 17 HN4,C24H44O6C34H68O17,[M+NH4],1,1194.793266
Tween 80,(C2H4O) 17 Na,C24H44O6C34H68O17,[M+Na],1,1199.74866
Tween 80,(C2H4O) 18 ,C24H44O6C36H72O18,[M+H],1,1221.792931
Tween 80,(C2H4O) 18 HN4,C24H44O6C36H72O18,[M+NH4],1,1238.819481
Tween 80,(C2H4O) 18 Na,C24H44O6C36H72O18,[M+Na],1,1243.774874
Tween 80,(C2H4O) 19 ,C24H44O6C38H76O19,[M+H],1,1265.819146
Tween 80,(C2H4O) 19 HN4,C24H44O6C38H76O19,[M+NH4],1,1282.845696
Tween 80,(C2H4O) 19 Na,C24H44O6C38H76O19,[M+Na],1,1287.801089
Tween 80,(C2H4O) 20 ,C24H44O6C40H80O20,[M+H],1,1309.845361
Tween 80,(C2H4O) 20 HN4,C24H44O6C40H80O20,[M+NH4],1,1326.87191
Tween 80,(C2H4O) 20 Na,C24H44O6C40H80O20,[M+Na],1,1331.827304
Tween 80,(C2H4O) 21 ,C24H44O6C42H84O21,[M+H],1,1353.871575
Tween 80,(C2H4O) 21 HN4,C24H44O6C42H84O21,[M+NH4],1,1370.898125
Tween 80,(C2H4O) 21 Na,C24H44O6C42H84O21,[M+Na],1,1375.853519
Tween 80,(C2H4O) 22 ,C24H44O6C44H88O22,[M+H],1,1397.89779
Tween 80,(C2H4O) 22 HN4,C24H44O6C44H88O22,[M+NH4],1,1414.92434
Tween 80,(C2H4O) 22 Na,C24H44O6C44H88O22,[M+Na],1,1419.879733
Tween 80,(C2H4O) 23 ,C24H44O6C46H92O23,[M+H],1,1441.924005
Tween 80,(C2H4O) 23 HN4,C24H44O6C46H92O23,[M+NH4],1,1458.950555
Tween 80,(C2H4O) 23 Na,C24H44O6C46H92O23,[M+Na],1,1463.905948
Tween 80,(C2H4O) 24 ,C24H44O6C48H96O24,[M+H],1,1485.95022
Tween 80,(C2H4O) 24 HN4,C24H44O6C48H96O24,[M+NH4],1,1502.976769
Tween 80,(C2H4O) 24 Na,C24H44O6C48H96O24,[M+Na],1,1507.932163
Tween 80,(C2H4O) 25 ,C24H44O6C50H100O25,[M+H],1,1529.976435
Tween 80,(C2H4O) 25 HN4,C24H44O6C50H100O25,[M+NH4],1,1547.002984
Tween 80,(C2H4O) 25 Na,C24H44O6C50H100O25,[M+Na],1,1551.958378
Tween 80,(C2H4O) 26 ,C24H44O6C52H104O26,[M+H],1,1574.002649
Tween 80,(C2H4O) 26 HN4,C24H44O6C52H104O26,[M+NH4],1,1591.029199
Tween 80,(C2H4O) 26 Na,C24H44O6C52H104O26,[M+Na],1,1595.984592
Tween 80,(C2H4O) 27 ,C24H44O6C54H108O27,[M+H],1,1618.028864
Tween 80,(C2H4O) 27 HN4,C24H44O6C54H108O27,[M+NH4],1,1635.055414
Tween 80,(C2H4O) 27 Na,C24H44O6C54H108O27,[M+Na],1,1640.010807
Tween 80,(C2H4O) 28 ,C24H44O6C56H112O28,[M+H],1,1662.055079
Tween 80,(C2H4O) 28 HN4,C24H44O6C56H112O28,[M+NH4],1,1679.081628
Tween 80,(C2H4O) 28 Na,C24H44O6C56H112O28,[M+Na],1,1684.037022
Tween 80,(C2H4O) 29 ,C24H44O6C58H116O29,[M+H],1,1706.081294
Tween 80,(C2H4O) 29 HN4,C24H44O6C58H116O29,[M+NH4],1,1723.107843
Tween 80,(C2H4O) 29 Na,C24H44O6C58H116O29,[M+Na],1,1728.063237
Tween 80,(C2H4O) 30 ,C24H44O6C60H120O30,[M+H],1,1750.107508
Tween 80,(C2H4O) 30 HN4,C24H44O6C60H120O30,[M+NH4],1,1767.134058
Tween 80,(C2H4O) 30 Na,C24H44O6C60H120O30,[M+Na],1,1772.089452
Tween 80,(C2H4O) 31 ,C24H44O6C62H124O31,[M+H],1,1794.133723
Tween 80,(C2H4O) 31 HN4,C24H44O6C62H124O31,[M+NH4],1,1811.160273
Tween 80,(C2H4O) 31 Na,C24H44O6C62H124O31,[M+Na],1,1816.115666
Tween 80,(C2H4O) 32 ,C24H44O6C64H128O32,[M+H],1,1838.159938
Tween 80,(C2H4O) 32 HN4,C24H44O6C64H128O32,[M+NH4],1,1855.186488
Tween 80,(C2H4O) 32 Na,C24H44O6C64H128O32,[M+Na],1,1860.141881
